YEAR;MUN;INTENSITY_USE_DWELLINGS;CONCEPT;status;value
2021;430115;REGU_DW_EL_C_MORE_750;DWELL;;492
2021;430115;TOTAL;DWELL;;633
2021;170062;EMPT_DW_EL_C_MIN;DWELL;;655
2021;170062;LWU_DW_EL_C_UND_250;DWELL;;232
2021;170062;OCCU_DW_EL_C_250_750;DWELL;;754
2021;170062;REGU_DW_EL_C_MORE_750;DWELL;;1777
2021;170062;TOTAL;DWELL;;3418
2021;250236;EMPT_DW_EL_C_MIN;DWELL;;327
2021;250236;LWU_DW_EL_C_UND_250;DWELL;;31
2021;250236;OCCU_DW_EL_C_250_750;DWELL;;103
2021;250236;REGU_DW_EL_C_MORE_750;DWELL;;2204
2021;250236;TOTAL;DWELL;;2665
2021;430120;EMPT_DW_EL_C_MIN;DWELL;;357
2021;430120;LWU_DW_EL_C_UND_250;DWELL;;271
2021;430120;OCCU_DW_EL_C_250_750;DWELL;;978
2021;430120;REGU_DW_EL_C_MORE_750;DWELL;;3245
2021;430120;TOTAL;DWELL;;4851
2021;170078;EMPT_DW_EL_C_MIN;DWELL;;311
2021;170078;LWU_DW_EL_C_UND_250;DWELL;;30
2021;170078;OCCU_DW_EL_C_250_750;DWELL;;72
2021;170078;REGU_DW_EL_C_MORE_750;DWELL;;972
2021;170078;TOTAL;DWELL;;1385
2021;430136;EMPT_DW_EL_C_MIN;DWELL;;1574
2021;430136;LWU_DW_EL_C_UND_250;DWELL;;377
2021;430136;OCCU_DW_EL_C_250_750;DWELL;;1029
2021;430136;REGU_DW_EL_C_MORE_750;DWELL;;5306
2021;430136;TOTAL;DWELL;;8286
2021;080057;EMPT_DW_EL_C_MIN;DWELL;;311
2021;080057;LWU_DW_EL_C_UND_250;DWELL;;32
2021;080057;OCCU_DW_EL_C_250_750;DWELL;;144
2021;080057;REGU_DW_EL_C_MORE_750;DWELL;;3121
2021;080057;TOTAL;DWELL;;3608
2021;439060;EMPT_DW_EL_C_MIN;DWELL;;837
2021;439060;LWU_DW_EL_C_UND_250;DWELL;;322
2021;439060;OCCU_DW_EL_C_250_750;DWELL;;902
2021;439060;REGU_DW_EL_C_MORE_750;DWELL;;2974
2021;439060;TOTAL;DWELL;;5035
2021;430141;EMPT_DW_EL_C_MIN;DWELL;;1650
2021;430141;LWU_DW_EL_C_UND_250;DWELL;;317
2021;430141;OCCU_DW_EL_C_250_750;DWELL;;937
2021;430141;REGU_DW_EL_C_MORE_750;DWELL;;8968
2021;430141;TOTAL;DWELL;;11872
2021;170084;EMPT_DW_EL_C_MIN;DWELL;;526
2021;170084;LWU_DW_EL_C_UND_250;DWELL;;41
2021;170084;OCCU_DW_EL_C_250_750;DWELL;;144
2021;170084;REGU_DW_EL_C_MORE_750;DWELL;;2026
2021;170084;TOTAL;DWELL;;2737
2021;250273;EMPT_DW_EL_C_MIN;DWELL;;95
2021;250273;LWU_DW_EL_C_UND_250;DWELL;;31
2021;250273;OCCU_DW_EL_C_250_750;DWELL;;56
2021;250273;REGU_DW_EL_C_MORE_750;DWELL;;521
2021;250273;TOTAL;DWELL;;703
2021;250292;EMPT_DW_EL_C_MIN;DWELL;;541
2021;250292;LWU_DW_EL_C_UND_250;DWELL;;45
2021;250292;OCCU_DW_EL_C_250_750;DWELL;;117
2021;250292;REGU_DW_EL_C_MORE_750;DWELL;;861
2021;250292;TOTAL;DWELL;;1564
2021;430167;EMPT_DW_EL_C_MIN;DWELL;;198
2021;430167;LWU_DW_EL_C_UND_250;DWELL;;66
2021;430167;OCCU_DW_EL_C_250_750;DWELL;;179
2021;430167;REGU_DW_EL_C_MORE_750;DWELL;;1988
2021;430167;TOTAL;DWELL;;2431
2021;170097;EMPT_DW_EL_C_MIN;DWELL;;300
2021;170097;LWU_DW_EL_C_UND_250;DWELL;;123
2021;170097;OCCU_DW_EL_C_250_750;DWELL;;344
2021;170097;REGU_DW_EL_C_MORE_750;DWELL;;2565
2021;170097;TOTAL;DWELL;;3332
2021;080060;EMPT_DW_EL_C_MIN;DWELL;;739
2021;080060;LWU_DW_EL_C_UND_250;DWELL;;247
2021;080060;OCCU_DW_EL_C_250_750;DWELL;;793
2021;080060;REGU_DW_EL_C_MORE_750;DWELL;;6634
2021;080060;TOTAL;DWELL;;8413
2021;080076;EMPT_DW_EL_C_MIN;DWELL;;219
2021;080076;LWU_DW_EL_C_UND_250;DWELL;;116
2021;080076;OCCU_DW_EL_C_250_750;DWELL;;315
2021;080076;REGU_DW_EL_C_MORE_750;DWELL;;3789
2021;080076;TOTAL;DWELL;;4439
2021;080095;EMPT_DW_EL_C_MIN;DWELL;;248
2021;080095;LWU_DW_EL_C_UND_250;DWELL;;85
2021;080095;OCCU_DW_EL_C_250_750;DWELL;;259
2021;080095;REGU_DW_EL_C_MORE_750;DWELL;;4631
2021;080095;TOTAL;DWELL;;5223
2021;080109;EMPT_DW_EL_C_MIN;DWELL;;199
2021;080109;LWU_DW_EL_C_UND_250;DWELL;;63
2021;080109;OCCU_DW_EL_C_250_750;DWELL;;149
2021;080109;REGU_DW_EL_C_MORE_750;DWELL;;2244
2021;080109;TOTAL;DWELL;;2655
2021;250334;EMPT_DW_EL_C_MIN;DWELL;;68
2021;250334;LWU_DW_EL_C_UND_250;DWELL;;10
2021;250334;OCCU_DW_EL_C_250_750;DWELL;;47
2021;250334;REGU_DW_EL_C_MORE_750;DWELL;;547
2021;250334;TOTAL;DWELL;;672
2021;250349;EMPT_DW_EL_C_MIN;DWELL;;427
2021;250349;LWU_DW_EL_C_UND_250;DWELL;;109
2021;250349;OCCU_DW_EL_C_250_750;DWELL;;221
2021;250349;REGU_DW_EL_C_MORE_750;DWELL;;1527
2021;250349;TOTAL;DWELL;;2284
2021;430192;EMPT_DW_EL_C_MIN;DWELL;;313
2021;430192;LWU_DW_EL_C_UND_250;DWELL;;33
2021;430192;OCCU_DW_EL_C_250_750;DWELL;;80
2021;430192;REGU_DW_EL_C_MORE_750;DWELL;;503
2021;430192;TOTAL;DWELL;;929
2021;080116;EMPT_DW_EL_C_MIN;DWELL;;99
2021;080116;LWU_DW_EL_C_UND_250;DWELL;;39
2021;080116;OCCU_DW_EL_C_250_750;DWELL;;118
2021;080116;REGU_DW_EL_C_MORE_750;DWELL;;851
2021;080116;TOTAL;DWELL;;1107
2021;080121;EMPT_DW_EL_C_MIN;DWELL;;153
2021;080121;LWU_DW_EL_C_UND_250;DWELL;;21
2021;080121;OCCU_DW_EL_C_250_750;DWELL;;75
2021;080121;REGU_DW_EL_C_MORE_750;DWELL;;864
2021;080121;TOTAL;DWELL;;1113
2021;170123;EMPT_DW_EL_C_MIN;DWELL;;67
2021;170123;LWU_DW_EL_C_UND_250;DWELL;;5
2021;170123;OCCU_DW_EL_C_250_750;DWELL;;22
2021;170123;REGU_DW_EL_C_MORE_750;DWELL;;531
2021;170123;TOTAL;DWELL;;625
2021;080137;EMPT_DW_EL_C_MIN;DWELL;;157
2021;080137;LWU_DW_EL_C_UND_250;DWELL;;12
2021;080137;OCCU_DW_EL_C_250_750;DWELL;;49
2021;080137;REGU_DW_EL_C_MORE_750;DWELL;;680
2021;080137;TOTAL;DWELL;;898
2021;080155;EMPT_DW_EL_C_MIN;DWELL;;7714
2021;080155;LWU_DW_EL_C_UND_250;DWELL;;1693
2021;080155;OCCU_DW_EL_C_250_750;DWELL;;5430
2021;080155;REGU_DW_EL_C_MORE_750;DWELL;;77078
2021;080155;TOTAL;DWELL;;91915
2021;089045;EMPT_DW_EL_C_MIN;DWELL;;373
2021;089045;LWU_DW_EL_C_UND_250;DWELL;;57
2021;089045;OCCU_DW_EL_C_250_750;DWELL;;249
2021;089045;REGU_DW_EL_C_MORE_750;DWELL;;4768
2021;089045;TOTAL;DWELL;;5447
2021;080168;EMPT_DW_EL_C_MIN;DWELL;;173
2021;080168;LWU_DW_EL_C_UND_250;DWELL;;118
2021;080168;OCCU_DW_EL_C_250_750;DWELL;;295
2021;080168;REGU_DW_EL_C_MORE_750;DWELL;;1110
2021;080168;TOTAL;DWELL;;1696
2021;250404;EMPT_DW_EL_C_MIN;DWELL;;1398
2021;250404;LWU_DW_EL_C_UND_250;DWELL;;227
2021;250404;OCCU_DW_EL_C_250_750;DWELL;;623
2021;250404;REGU_DW_EL_C_MORE_750;DWELL;;6607
2021;250404;TOTAL;DWELL;;8855
2021;080174;EMPT_DW_EL_C_MIN;DWELL;;135
2021;080174;LWU_DW_EL_C_UND_250;DWELL;;55
2021;080174;OCCU_DW_EL_C_250_750;DWELL;;125
2021;080174;REGU_DW_EL_C_MORE_750;DWELL;;1415
2021;080174;TOTAL;DWELL;;1730
2021;080180;EMPT_DW_EL_C_MIN;DWELL;;295
2021;080180;LWU_DW_EL_C_UND_250;DWELL;;45
2021;080180;OCCU_DW_EL_C_250_750;DWELL;;143
2021;080180;REGU_DW_EL_C_MORE_750;DWELL;;1227
2021;080180;TOTAL;DWELL;;1710
2021;430206;EMPT_DW_EL_C_MIN;DWELL;;194
2021;430206;LWU_DW_EL_C_UND_250;DWELL;;27
2021;430206;OCCU_DW_EL_C_250_750;DWELL;;105
2021;430206;REGU_DW_EL_C_MORE_750;DWELL;;1297
2021;430206;TOTAL;DWELL;;1623
2021;170157;EMPT_DW_EL_C_MIN;DWELL;;485
2021;170157;LWU_DW_EL_C_UND_250;DWELL;;176
2021;170157;OCCU_DW_EL_C_250_750;DWELL;;488
2021;170157;REGU_DW_EL_C_MORE_750;DWELL;;7915
2021;170157;TOTAL;DWELL;;9064
2021;082520;EMPT_DW_EL_C_MIN;DWELL;;978
2021;082520;LWU_DW_EL_C_UND_250;DWELL;;199
2021;082520;OCCU_DW_EL_C_250_750;DWELL;;543
2021;082520;REGU_DW_EL_C_MORE_750;DWELL;;12048
2021;082520;TOTAL;DWELL;;13768
2021;080193;EMPT_DW_EL_C_MIN;DWELL;;75488
2021;080193;LWU_DW_EL_C_UND_250;DWELL;;16123
2021;080193;OCCU_DW_EL_C_250_750;DWELL;;55772
2021;080193;REGU_DW_EL_C_MORE_750;DWELL;;661368
2021;080193;TOTAL;DWELL;;808751
2021;170160;EMPT_DW_EL_C_MIN;DWELL;;131
2021;170160;LWU_DW_EL_C_UND_250;DWELL;;13
2021;170160;OCCU_DW_EL_C_250_750;DWELL;;33
2021;170160;REGU_DW_EL_C_MORE_750;DWELL;;372
2021;170160;TOTAL;DWELL;;549
2021;430228;EMPT_DW_EL_C_MIN;DWELL;;241
2021;430228;LWU_DW_EL_C_UND_250;DWELL;;51
2021;430228;OCCU_DW_EL_C_250_750;DWELL;;104
2021;430228;REGU_DW_EL_C_MORE_750;DWELL;;710
2021;430228;TOTAL;DWELL;;1106
2021;080207;EMPT_DW_EL_C_MIN;DWELL;;153
2021;080207;LWU_DW_EL_C_UND_250;DWELL;;31
2021;080207;OCCU_DW_EL_C_250_750;DWELL;;136
2021;080207;REGU_DW_EL_C_MORE_750;DWELL;;2615
2021;080207;TOTAL;DWELL;;2935
2021;170139;EMPT_DW_EL_C_MIN;DWELL;;1509
2021;170139;LWU_DW_EL_C_UND_250;DWELL;;159
2021;170139;OCCU_DW_EL_C_250_750;DWELL;;648
2021;170139;REGU_DW_EL_C_MORE_750;DWELL;;3304
2021;170139;TOTAL;DWELL;;5620
2021;250479;EMPT_DW_EL_C_MIN;DWELL;;128
2021;250479;LWU_DW_EL_C_UND_250;DWELL;;17
2021;250479;OCCU_DW_EL_C_250_750;DWELL;;59
2021;250479;REGU_DW_EL_C_MORE_750;DWELL;;503
2021;250479;TOTAL;DWELL;;707
2021;250485;EMPT_DW_EL_C_MIN;DWELL;;120
2021;250485;LWU_DW_EL_C_UND_250;DWELL;;20
2021;250485;OCCU_DW_EL_C_250_750;DWELL;;75
2021;250485;REGU_DW_EL_C_MORE_750;DWELL;;871
2021;250485;TOTAL;DWELL;;1086
2021;250501;EMPT_DW_EL_C_MIN;DWELL;;507
2021;250501;LWU_DW_EL_C_UND_250;DWELL;;68
2021;250501;OCCU_DW_EL_C_250_750;DWELL;;169
2021;250501;REGU_DW_EL_C_MORE_750;DWELL;;1897
2021;250501;TOTAL;DWELL;;2641
2021;430249;EMPT_DW_EL_C_MIN;DWELL;;130
